timestamp,group,tar,,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID,
230810-094606,msf,thar,,,1,thar,f,6,a,,0
230810-094606,msf,thar,,,1,xigu,u,3,f,,0
230810-094606,msf,thar,,,1,myax,m,4,c,,0
230810-094606,msf,thar,,,1,myax,f,6,c,,0
230810-094606,msf,thar,,,1,mylo,m,8,u,,0
230810-094606,msf,thar,,,1,mylo,f,8,c,,0
230810-094606,msf,thar,,,1,tasc,m,4,c,,0
230810-094606,msf,thar,,,1,leam,u,10,u,,0
230810-094606,msf,thar,,,1,thar,,,,,1
230810-111956,msf,thar,,,1,mylo,m,17,u,,0
230810-111956,msf,thar,,,1,mylo,f,17,u,,0
230810-111956,msf,thar,,,1,myax,m,15,u,,0
230810-111956,msf,thar,,,1,thar,f,14,u,,0
230810-111956,msf,thar,,,1,xigu,u,20,u,,0
230810-111956,msf,thar,,,1,thar,,,,,1
